city	region	country
Поти	Самегрело-Земосванети	Грузия
Астана	Акмолинская область	КАЗАХСТАН
Державинск	Акмолинская область	КАЗАХСТАН
Домбыралы	Акмолинская область	КАЗАХСТАН
Есиль	Акмолинская область	КАЗАХСТАН
Жаксынский жаксы	Акмолинская область	КАЗАХСТАН
Зеренда	Акмолинская область	КАЗАХСТАН
Кокшетау	Акмолинская область	КАЗАХСТАН
Красный Яр	Акмолинская область	КАЗАХСТАН
Макинск	Акмолинская область	КАЗАХСТАН
Максимовка	Акмолинская область	КАЗАХСТАН
Степногорск	Акмолинская область	КАЗАХСТАН
Щучинск	Акмолинская область	КАЗАХСТАН
Актобе	Актюбинская область	КАЗАХСТАН
Алма-Ата	Алматинская область	КАЗАХСТАН
Алматы	Алматинская область	КАЗАХСТАН
Зыряновск	Восточно-Казахстанская	КАЗАХСТАН
Усть-Каменогорск	Восточно-Казахстанская область	КАЗАХСТАН
Бауыржан-Момышулы	Жамбылская область	КАЗАХСТАН
Кушум	Западно-Казахстанская область	КАЗАХСТАН
Караганда	Карагандинская область	КАЗАХСТАН
Арка	Костанайская область	КАЗАХСТАН
Аркалык	Костанайская область	КАЗАХСТАН
Аулиеколь	Костанайская область	КАЗАХСТАН
Бестобе	Костанайская область	КАЗАХСТАН
Боровское	Костанайская область	КАЗАХСТАН
Глазуновка	Костанайская область	КАЗАХСТАН
Жарколь	Костанайская область	КАЗАХСТАН
Житикара	Костанайская область	КАЗАХСТАН
Заречное	Костанайская область	КАЗАХСТАН
Затобольск	Костанайская область	КАЗАХСТАН
Карабалык	Костанайская область	КАЗАХСТАН
Караменды	Костанайская область	КАЗАХСТАН
Карасу	Костанайская область	КАЗАХСТАН
Каскат	Костанайская область	КАЗАХСТАН
Койбагар	Костанайская область	КАЗАХСТАН
Костанай	Костанайская область	КАЗАХСТАН
Костонай	Костанайская область	КАЗАХСТАН
Кустанай	Костанайская область	КАЗАХСТАН
Лисаковск	Костанайская область	КАЗАХСТАН
Лисаковский	Костанайская область	КАЗАХСТАН
Майское	Костанайская область	КАЗАХСТАН
Михайловка	Костанайская область	КАЗАХСТАН
Мичурино	Костанайская область	КАЗАХСТАН
Молодежное	Костанайская область	КАЗАХСТАН
Рудный	Костанайская область	КАЗАХСТАН
Сарыколь	Костанайская область	КАЗАХСТАН
Суворово	Костанайская область	КАЗАХСТАН
Шолаксай	Костанайская область	КАЗАХСТАН
Заречный	Кустанайская область	КАЗАХСТАН
Аксу	Павлодарская область	КАЗАХСТАН
Экибастуз	Павлодарская область	КАЗАХСТАН
Ленинградское	Северо-Казахстанская	КАЗАХСТАН
Мамлютка	Северо-Казахстанская	КАЗАХСТАН
Новоишимское	Северо-Казахстанская	КАЗАХСТАН
Петропавловск	Северо-Казахстанская	КАЗАХСТАН
Тайынша	Северо-Казахстанская	КАЗАХСТАН
Чистовское	Северо-Казахстанская	КАЗАХСТАН
Чистополье	Северо-Казахстанская	КАЗАХСТАН
Алматы	Южно-Казахстанская	КАЗАХСТАН
Туркестан	Южно-Казахстанская	КАЗАХСТАН
АНДАРАК	Баткенская	КИРГИЗИЯ
Кара-Добо	Баткенская	КИРГИЗИЯ
Кок-Талаа	Баткенская	КИРГИЗИЯ
Кызыл-Кыя	Баткенская	КИРГИЗИЯ
Лейлек	Баткенская	КИРГИЗИЯ
Бишкек	Бишкекская область	КИРГИЗИЯ
Ала-Бука	Жалал-Абадская	КИРГИЗИЯ
Базар коргон	Жалал-Абадская	КИРГИЗИЯ
Жалал Абад	Жалал-Абадская	КИРГИЗИЯ
Каныш-Кыя	Жалал-Абадская	КИРГИЗИЯ
Кербен	Жалал-Абадская	КИРГИЗИЯ
Кочкор-Ата	Жалал-Абадская	КИРГИЗИЯ
Майлуу-Суу	Жалал-Абадская	КИРГИЗИЯ
Ноокен	Жалал-Абадская	КИРГИЗИЯ
Саргата	Жалал-Абадская	КИРГИЗИЯ
Сузак	Жалал-Абадская	КИРГИЗИЯ
Токтогул	Жалал-Абадская	КИРГИЗИЯ
Балыкчы	Иссык-Кульская	КИРГИЗИЯ
Боз-Булун	Иссык-Кульская	КИРГИЗИЯ
Бостери	Иссык-Кульская	КИРГИЗИЯ
Каракол	Иссык-Кульская	КИРГИЗИЯ
Корумду	Иссык-Кульская	КИРГИЗИЯ
Кызыл-Суу	Иссык-Кульская	КИРГИЗИЯ
Михайловка	Иссык-Кульская	КИРГИЗИЯ
Александровка	Московский район	КИРГИЗИЯ
Ат Башы	Нарынская	КИРГИЗИЯ
Калинин	Нарынская	КИРГИЗИЯ
КОЧКОР	Нарынская	КИРГИЗИЯ
Мин-булак	Нарынская	КИРГИЗИЯ
Нарын	Нарынская	КИРГИЗИЯ
Манас-Ата	Ошская область	КИРГИЗИЯ
Мурдаш	Ошская область	КИРГИЗИЯ
Ноокат	Ошская область	КИРГИЗИЯ
Ош	Ошская область	КИРГИЗИЯ
Уч коргон	Талас	КИРГИЗИЯ
Акжар	Таласская	КИРГИЗИЯ
КЕНЕШ	Таласская	КИРГИЗИЯ
Копуро-Базар	Таласская	КИРГИЗИЯ
Манас	Таласская	КИРГИЗИЯ
Талас	Таласская	КИРГИЗИЯ
Бишкек	Чуй	КИРГИЗИЯ
Бала-Айылчы	Чуйская область	КИРГИЗИЯ
Белводское	Чуйская область	КИРГИЗИЯ
Беловодское	Чуйская область	КИРГИЗИЯ
Вознесеновка	Чуйская область	КИРГИЗИЯ
Жаны Пахта	Чуйская область	КИРГИЗИЯ
Карагай-Булак	Чуйская область	КИРГИЗИЯ
Кепер-Арык	Чуйская область	КИРГИЗИЯ
Кок-жар	Чуйская область	КИРГИЗИЯ
Кошой	Чуйская область	КИРГИЗИЯ
Мраморное	Чуйская область	КИРГИЗИЯ
Нижне-Чуйск	Чуйская область	КИРГИЗИЯ
Сокулук	Чуйская область	КИРГИЗИЯ
Темен-Суу	Чуйская область	КИРГИЗИЯ
Токмок	Чуйская область	КИРГИЗИЯ
Фёдоровка	Чуйская область	КИРГИЗИЯ
Чон-Арык	Чуйская область	КИРГИЗИЯ
Чуй	Чуйская область	КИРГИЗИЯ
Шопоков	Чуйская область	КИРГИЗИЯ
Мэйшань	Аньхой	КИТАЙ
Наньван	Аньхой	КИТАЙ
Хунъян	Аньхой	КИТАЙ
Баотоу	Внутренняя Монголия	КИТАЙ
Байинь	Гансу	КИТАЙ
Ланчжоу	Гансу	КИТАЙ
Хэцзо	Ганьсу	КИТАЙ
Чжуншань	Гуандун	КИТАЙ
Шаньтоу	Гуандун	КИТАЙ
Цзуньи	Гуйчжоу	КИТАЙ
Цяньха	Гуйчжоу	КИТАЙ
Далянь	Ляонин	КИТАЙ
Пекин	Пекин	КИТАЙ
Кайфэн	Про.Хэнань	КИТАЙ
Чангэ	Про.Хэнань	КИТАЙ
Харбин	Провинция Хэйлунцзян	КИТАЙ
Урумчи	Синьцзян-Уйгурский	КИТАЙ
Хэнань	Синьцзян-Уйгурский	КИТАЙ
Ухань	Хубэй	КИТАЙ
Хуайхуа	Хунань	КИТАЙ
Чанша	Хунань	КИТАЙ
Баодин	Хэбэй	КИТАЙ
Шицзячжан	Хэбэй	КИТАЙ
Дацзян	Хэйлунцзян	КИТАЙ
Дацин	Хэйлунцзян	КИТАЙ
Муданьцзян	Хэйлунцзян	КИТАЙ
район Комсомольское освоение земель для с/х	Хэйлунцзян	КИТАЙ
Суйфэньхэ	Хэйлунцзян	КИТАЙ
Хэйхэ	Хэйлунцзян	КИТАЙ
Цициуар	Хэйлунцзян	КИТАЙ
Аньян	Хэнань	КИТАЙ
Ганъу	Хэнань	КИТАЙ
Даньчэн	Хэнань	КИТАЙ
Дэнчжоу	Хэнань	КИТАЙ
Линбао	Хэнань	КИТАЙ
Лохэ	Хэнань	КИТАЙ
Наньян	Хэнань	КИТАЙ
Пиндиньшань	Хэнань	КИТАЙ
Пуян	Хэнань	КИТАЙ
Синьсян	Хэнань	КИТАЙ
Синьчжэн	Хэнань	КИТАЙ
Сюйчан	Хэнань	КИТАЙ
Циньян	Хэнань	КИТАЙ
Чжанцзя	Хэнань	КИТАЙ
Чжумадянь	Хэнань	КИТАЙ
Чжэн Чжоу	Хэнань	КИТАЙ
Чжэнчжоу	Хэнань	КИТАЙ
Чанчунь	Цзилинь	КИТАЙ
Чанчунь	Чанчунь чаоян	КИТАЙ
Юецзин	Чжэцян	КИТАЙ
Дуннин	Шаньдун	КИТАЙ
Жичжао	Шаньдун	КИТАЙ
Циндао	Шаньдун	КИТАЙ
Линши	Шаньси	КИТАЙ
Тайюань	Шаньси	КИТАЙ
Сиань	Шэньси	КИТАЙ
Кишинев	Кишинев	МОЛДОВА
Дархан	Дархан аймак	Монголия
Улан-Батор	Монголия	Монголия
Гудаута	Абхазия	Республика Абхазия
Лыхны	Абхазия	Республика Абхазия
Сухум	Абхазия	Республика Абхазия
Ткуарчал	Абхазия	Республика Абхазия
Беюк	Огузский	Республика Азербайджан
Беюк Союдлы	Огузский	Республика Азербайджан
Ереван	Армавирская	Республика Армения
Арцни	Лори	Республика Армения
Гомель	Гомельская	Республика Беларусь
Сулеймания	Курдистан	Республика Ирак
Пичинча	Чимборасо	Республика Эквадор
Барнаул	Алтайский край	Российская Федерация
Бийск	Алтайский край	Российская Федерация
Горно-Алтайск	Алтайский край	Российская Федерация
Майма	Алтайский край	Российская Федерация
Рубцовск	Алтайский край	Российская Федерация
Шипуново	Алтайский край	Российская Федерация
Белогорск	Амурская область	Российская Федерация
Благовещенск	Амурская область	Российская Федерация
Восточный	Амурская область	Российская Федерация
Прогресс	Амурская область	Российская Федерация
Райчихинск	Амурская область	Российская Федерация
Сковородино	Амурская область	Российская Федерация
Тында	Амурская область	Российская Федерация
Чигири	Амурская область	Российская Федерация
Астрахань	Астраханская область	Российская Федерация
Белгород	Белгородская область	Российская Федерация
Валуйки	Белгородская область	Российская Федерация
Никольское	Белгородская область	Российская Федерация
Северный	Белгородская область	Российская Федерация
Старый Оскол	Белгородская область	Российская Федерация
Строитель	Белгородская область	Российская Федерация
Брянск	Брянская область	Российская Федерация
Владимир	Владимирская область	Российская Федерация
Гусь-Хрустальный	Владимирская область	Российская Федерация
Ковров	Владимирская область	Российская Федерация
Волгоград	Волгоградская область	Российская Федерация
Волжский	Волгоградская область	Российская Федерация
Жирновск	Волгоградская область	Российская Федерация
Камышин	Волгоградская область	Российская Федерация
Великий Устюг	Вологодская область	Российская Федерация
Нюксеница	Вологодская область	Российская Федерация
Тотьма	Вологодская область	Российская Федерация
Череповец	Вологодская область	Российская Федерация
Юбилейный	Вологодская область	Российская Федерация
Борисоглебск	Воронежская область	Российская Федерация
Воронеж	Воронежская область	Российская Федерация
Семилуки	Воронежская область	Российская Федерация
Биракан	Еврейская автономная область	Российская Федерация
Биробиджан	Еврейская автономная область	Российская Федерация
Ленинское	Еврейская автономная область	Российская Федерация
Агинское	Забайкальский край	Российская Федерация
Дульдурга	Забайкальский край	Российская Федерация
Карымское	Забайкальский край	Российская Федерация
Краснокаменск	Забайкальский край	Российская Федерация
Приаргунск	Забайкальский край	Российская Федерация
Чернышевск	Забайкальский край	Российская Федерация
Чита	Забайкальский край	Российская Федерация
Шерловая Гора	Забайкальский край	Российская Федерация
Иваново	Ивановская область	Российская Федерация
Ангарск	Иркутская область	Российская Федерация
Братск	Иркутская область	Российская Федерация
Железногорск-Илимский	Иркутская область	Российская Федерация
Зима	Иркутская область	Российская Федерация
Иркутск	Иркутская область	Российская Федерация
Молодежный	Иркутская область	Российская Федерация
Нижнеудинск	Иркутская область	Российская Федерация
Слюдянка	Иркутская область	Российская Федерация
Усть-Илимск	Иркутская область	Российская Федерация
Усть-Кут	Иркутская область	Российская Федерация
Шелехов	Иркутская область	Российская Федерация
Прохладный	Кабардино-Балкарская Республика	Российская Федерация
Калуга	Калужская область	Российская Федерация
Обнинск	Калужская область	Российская Федерация
Вилючинск	Камчатский край	Российская Федерация
Черкесск	Карачаево-Черкесская Республика	Российская Федерация
Костомукша	Карелия	Российская Федерация
Анжеро-Судженск	Кемеровская область	Российская Федерация
Белово	Кемеровская область	Российская Федерация
Восходящий	Кемеровская область	Российская Федерация
Итатский	Кемеровская область	Российская Федерация
Калтан	Кемеровская область	Российская Федерация
Кемерово	Кемеровская область	Российская Федерация
Краснобродский	Кемеровская область	Российская Федерация
Ленинск-Кузнецкий	Кемеровская область	Российская Федерация
Мазурово	Кемеровская область	Российская Федерация
Междуреченск	Кемеровская область	Российская Федерация
Новокузнецк	Кемеровская область	Российская Федерация
Прокопьевск	Кемеровская область	Российская Федерация
Юрга	Кемеровская область	Российская Федерация
Яя	Кемеровская область	Российская Федерация
Вятские Поляны	Кировская область	Российская Федерация
Зуевка	Кировская область	Российская Федерация
Киров	Кировская область	Российская Федерация
Кирово-Чепецк	Кировская область	Российская Федерация
Кирс	Кировская область	Российская Федерация
Котельнич	Кировская область	Российская Федерация
Красная Поляна	Кировская область	Российская Федерация
Лойно	Кировская область	Российская Федерация
Лянгасово	Кировская область	Российская Федерация
Малмыж	Кировская область	Российская Федерация
Мураши	Кировская область	Российская Федерация
Омутнинск	Кировская область	Российская Федерация
Пеньки	Кировская область	Российская Федерация
Рудничное городское поселение	Кировская область	Российская Федерация
Рудничный	Кировская область	Российская Федерация
Слободской	Кировская область	Российская Федерация
Советск	Кировская область	Российская Федерация
Суна	Кировская область	Российская Федерация
Уржум	Кировская область	Российская Федерация
Яранск	Кировская область	Российская Федерация
Кострома	Костромская область	Российская Федерация
Абинск	Краснодарский край	Российская Федерация
Анапа	Краснодарский край	Российская Федерация
Армавир	Краснодарский край	Российская Федерация
Горячий Ключ	Краснодарский край	Российская Федерация
Ейск	Краснодарский край	Российская Федерация
Краснодар	Краснодарский край	Российская Федерация
Красносельское	Краснодарский край	Российская Федерация
Крымск	Краснодарский край	Российская Федерация
Курганинск	Краснодарский край	Российская Федерация
Лабинск	Краснодарский край	Российская Федерация
Новороссийск	Краснодарский край	Российская Федерация
Павловская	Краснодарский край	Российская Федерация
Павловский	Краснодарский край	Российская Федерация
Полтавская	Краснодарский край	Российская Федерация
Приморско-Ахтарск	Краснодарский край	Российская Федерация
Славянск-на-Кубани	Краснодарский край	Российская Федерация
Сочи	Краснодарский край	Российская Федерация
Туапсе	Краснодарский край	Российская Федерация
Усть-Лабинск	Краснодарский край	Российская Федерация
Ачинск	Красноярский край	Российская Федерация
Березовка	Красноярский край	Российская Федерация
Дивногорск	Красноярский край	Российская Федерация
Диксон	Красноярский край	Российская Федерация
Красноярск	Красноярский край	Российская Федерация
Минусинск	Красноярский край	Российская Федерация
Норильск	Красноярский край	Российская Федерация
Снежногорск	Красноярский край	Российская Федерация
Солнечный	Красноярский край	Российская Федерация
Сосновоборск	Красноярский край	Российская Федерация
Шарыпово	Красноярский край	Российская Федерация
Актабан	Курганская область	Российская Федерация
Белозерское	Курганская область	Российская Федерация
Варгаши	Курганская область	Российская Федерация
Введенское	Курганская область	Российская Федерация
Глядянское	Курганская область	Российская Федерация
Далматово	Курганская область	Российская Федерация
Звериноголовское	Курганская область	Российская Федерация
Иковка	Курганская область	Российская Федерация
Камаган	Курганская область	Российская Федерация
Канаши	Курганская область	Российская Федерация
Каргаполье	Курганская область	Российская Федерация
Катайск	Курганская область	Российская Федерация
Кетово	Курганская область	Российская Федерация
Ключи	Курганская область	Российская Федерация
Красная Звезда	Курганская область	Российская Федерация
Красномыльское	Курганская область	Российская Федерация
Курган	Курганская область	Российская Федерация
Куртамыш	Курганская область	Российская Федерация
Лебяжье	Курганская область	Российская Федерация
Лесниково	Курганская область	Российская Федерация
Майский	Курганская область	Российская Федерация
Мехонское	Курганская область	Российская Федерация
Мишкино	Курганская область	Российская Федерация
Нижнеполевское	Курганская область	Российская Федерация
Новопетропавловское	Курганская область	Российская Федерация
Песчано-Коледино	Курганская область	Российская Федерация
Петухово	Курганская область	Российская Федерация
Пименовка	Курганская область	Российская Федерация
Садовое	Курганская область	Российская Федерация
Сафакулево	Курганская область	Российская Федерация
Светлый Дол	Курганская область	Российская Федерация
Сухоборское	Курганская область	Российская Федерация
Труд и Знание	Курганская область	Российская Федерация
Уксянское	Курганская область	Российская Федерация
Целинное	Курганская область	Российская Федерация
Чащи	Курганская область	Российская Федерация
Шадринск	Курганская область	Российская Федерация
Шатрово	Курганская область	Российская Федерация
Широковское	Курганская область	Российская Федерация
Шумиха	Курганская область	Российская Федерация
Юргамыш	Курганская область	Российская Федерация
Курск	Курская область	Российская Федерация
Кириши	Ленинградская область	Российская Федерация
Санкт-Петербург	Ленинградская область	Российская Федерация
Грязи	Липецкая область	Российская Федерация
Елец	Липецкая область	Российская Федерация
Липецк	Липецкая область	Российская Федерация
Магадан	Магаданская область	Российская Федерация
Москва	Москва	Российская Федерация
Московский	Москва	Российская Федерация
Балашиха	Московская область	Российская Федерация
Кораллово	Московская область	Российская Федерация
Королев	Московская область	Российская Федерация
Красная Пойма	Московская область	Российская Федерация
Лобня	Московская область	Российская Федерация
Люберцы	Московская область	Российская Федерация
Малаховка	Московская область	Российская Федерация
Москва	Московская область	Российская Федерация
Одинцово	Московская область	Российская Федерация
Химки	Московская область	Российская Федерация
Верхнетуломский	Мурманская область	Российская Федерация
Мурманск	Мурманская область	Российская Федерация
Котлас	Ненецкий АО (Архангельская область)	Российская Федерация
Яренск	Ненецкий АО (Архангельская область)	Российская Федерация
Дзержинск	Нижегородская область	Российская Федерация
Нижний Новгород	Нижегородская область	Российская Федерация
Бердск	Новосибирская область	Российская Федерация
Краснозерское	Новосибирская область	Российская Федерация
Краснообск	Новосибирская область	Российская Федерация
Купино	Новосибирская область	Российская Федерация
Новосибирск	Новосибирская область	Российская Федерация
Татарск	Новосибирская область	Российская Федерация
Тогучин	Новосибирская область	Российская Федерация
Большегривское	Омская область	Российская Федерация
Исилькуль	Омская область	Российская Федерация
Любинский	Омская область	Российская Федерация
Москаленки	Омская область	Российская Федерация
Омск	Омская область	Российская Федерация
Тара	Омская область	Российская Федерация
Адамовка	Оренбургская область	Российская Федерация
Бердянка	Оренбургская область	Российская Федерация
Бугуруслан	Оренбургская область	Российская Федерация
Бузулук	Оренбургская область	Российская Федерация
Гай	Оренбургская область	Российская Федерация
Горьковское	Оренбургская область	Российская Федерация
Домбаровский	Оренбургская область	Российская Федерация
Донское	Оренбургская область	Российская Федерация
Елизаветинка	Оренбургская область	Российская Федерация
ЗАТО Комаровский	Оренбургская область	Российская Федерация
Зиянчурино	Оренбургская область	Российская Федерация
Кваркено	Оренбургская область	Российская Федерация
Комсомольский	Оренбургская область	Российская Федерация
Красночабанский	Оренбургская область	Российская Федерация
Красноярский	Оренбургская область	Российская Федерация
Кубанка село	Оренбургская область	Российская Федерация
Кувандык	Оренбургская область	Российская Федерация
Майский	Оренбургская область	Российская Федерация
Марксовский	Оренбургская область	Российская Федерация
Медногорск	Оренбургская область	Российская Федерация
Новоорск	Оренбургская область	Российская Федерация
Новосергиевка	Оренбургская область	Российская Федерация
Новотроицк	Оренбургская область	Российская Федерация
Новотроицкое	Оренбургская область	Российская Федерация
Оренбург	Оренбургская область	Российская Федерация
Орск	Оренбургская область	Российская Федерация
Ростоши	Оренбургская область	Российская Федерация
Саракташ	Оренбургская область	Российская Федерация
Соль-Илецк	Оренбургская область	Российская Федерация
Сорочинск	Оренбургская область	Российская Федерация
Ташла	Оренбургская область	Российская Федерация
Теренсай	Оренбургская область	Российская Федерация
Тоцкое	Оренбургская область	Российская Федерация
Тоцкое Второе	Оренбургская область	Российская Федерация
Тукай	Оренбургская область	Российская Федерация
Тюльган	Оренбургская область	Российская Федерация
Уртазым	Оренбургская область	Российская Федерация
Экспериментальный	Оренбургская область	Российская Федерация
Энергетик	Оренбургская область	Российская Федерация
Ясный	Оренбургская область	Российская Федерация
Березовка	Пензенская область	Российская Федерация
Пенза	Пензенская область	Российская Федерация
Александровск	Пермский край	Российская Федерация
Атнягузи	Пермский край	Российская Федерация
Березники	Пермский край	Российская Федерация
Березовка	Пермский край	Российская Федерация
Большие Кусты	Пермский край	Российская Федерация
Верещагино	Пермский край	Российская Федерация
Вознесенское	Пермский край	Российская Федерация
Горнозаводск	Пермский край	Российская Федерация
Городище	Пермский край	Российская Федерация
Гремячинск	Пермский край	Российская Федерация
Губаха	Пермский край	Российская Федерация
Добрянка	Пермский край	Российская Федерация
Елово	Пермский край	Российская Федерация
Ергач	Пермский край	Российская Федерация
Звездный	Пермский край	Российская Федерация
Ильинский	Пермский край	Российская Федерация
Калинино	Пермский край	Российская Федерация
Карабаи	Пермский край	Российская Федерация
Кизел	Пермский край	Российская Федерация
Комсомольский	Пермский край	Российская Федерация
Кондратово	Пермский край	Российская Федерация
Кочево	Пермский край	Российская Федерация
Красновишерск	Пермский край	Российская Федерация
Краснокамск	Пермский край	Российская Федерация
Красный Ясыл	Пермский край	Российская Федерация
Кудымкар	Пермский край	Российская Федерация
