city	region	country
Половинный	Свердловская область	Российская Федерация
Полуночное	Свердловская область	Российская Федерация
Порошина	Свердловская область	Российская Федерация
Порошино	Свердловская область	Российская Федерация
Поташка	Свердловская область	Российская Федерация
Приданниково	Свердловская область	Российская Федерация
Пышма	Свердловская область	Российская Федерация
Ревда	Свердловская область	Российская Федерация
Реж	Свердловская область	Российская Федерация
Рефтинский	Свердловская область	Российская Федерация
Речкалова	Свердловская область	Российская Федерация
Рудничный	Свердловская область	Российская Федерация
Русская Тавра	Свердловская область	Российская Федерация
Самара	Свердловская область	Российская Федерация
Санкино	Свердловская область	Российская Федерация
Сарана	Свердловская область	Российская Федерация
Свердловское	Свердловская область	Российская Федерация
Свободный	Свердловская область	Российская Федерация
Североуральск	Свердловская область	Российская Федерация
Серов	Свердловская область	Российская Федерация
Слобода-Туринская	Свердловская область	Российская Федерация
Совхозный	Свердловская область	Российская Федерация
Соликамск	Свердловская область	Российская Федерация
Сосновый Бор	Свердловская область	Российская Федерация
Сосьва	Свердловская область	Российская Федерация
Среднеуральск	Свердловская область	Российская Федерация
Средний Бугалыш	Свердловская область	Российская Федерация
Старопышминск	Свердловская область	Российская Федерация
Староуткинск	Свердловская область	Российская Федерация
Стриганское	Свердловская область	Российская Федерация
Студенческий	Свердловская область	Российская Федерация
Субботина	Свердловская область	Российская Федерация
Сухой Лог	Свердловская область	Российская Федерация
Сысерть	Свердловская область	Российская Федерация
Таборы	Свердловская область	Российская Федерация
Тавда	Свердловская область	Российская Федерация
Талица	Свердловская область	Российская Федерация
Талицкий	Свердловская область	Российская Федерация
Тарасково	Свердловская область	Российская Федерация
Травянское	Свердловская область	Российская Федерация
Троицкий	Свердловская область	Российская Федерация
Троицкое	Свердловская область	Российская Федерация
Тугулым	Свердловская область	Российская Федерация
Туринск	Свердловская область	Российская Федерация
Туринская Слобода	Свердловская область	Российская Федерация
Уралец	Свердловская область	Российская Федерация
Уральский	Свердловская область	Российская Федерация
Усть-Салда	Свердловская область	Российская Федерация
Уфимский	Свердловская область	Российская Федерация
Цементный	Свердловская область	Российская Федерация
Черемисское	Свердловская область	Российская Федерация
Черемухово	Свердловская область	Российская Федерация
Черемхово	Свердловская область	Российская Федерация
Черновское	Свердловская область	Российская Федерация
Черноисточинск	Свердловская область	Российская Федерация
Чернокоровское	Свердловская область	Российская Федерация
Чернушка	Свердловская область	Российская Федерация
Четкарино	Свердловская область	Российская Федерация
Шаля	Свердловская область	Российская Федерация
Шамары	Свердловская область	Российская Федерация
Шогринское	Свердловская область	Российская Федерация
Щелкун	Свердловская область	Российская Федерация
Юшала	Свердловская область	Российская Федерация
Севастополь	Севастополь	Российская Федерация
Владикавказ	Северная Осетия - Алания	Российская Федерация
Вязьма	Смоленская область	Российская Федерация
Десногорск	Смоленская область	Российская Федерация
Смоленск	Смоленская область	Российская Федерация
Александрийская	Ставропольский край	Российская Федерация
Александровское	Ставропольский край	Российская Федерация
Ессентуки	Ставропольский край	Российская Федерация
Кисловодск	Ставропольский край	Российская Федерация
Невинномысск	Ставропольский край	Российская Федерация
Пятигорск	Ставропольский край	Российская Федерация
Ставрополь	Ставропольский край	Российская Федерация
Тамбов	Тамбовская область	Российская Федерация
Тверь	Тверская область	Российская Федерация
Северск	Томская область	Российская Федерация
Стрежевой	Томская область	Российская Федерация
Томск	Томская область	Российская Федерация
Тула	Тульская область	Российская Федерация
Когалым	Тюменская (Ханты-Манс. и Ямало-Нен. АО)	Российская Федерация
Нижневартовск	Тюменская (Ханты-Манс. и Ямало-Нен. АО)	Российская Федерация
Тобольск	Тюменская (Ханты-Манс. и Ямало-Нен. АО)	Российская Федерация
Юргинское	Тюменская (Ханты-Манс. и Ямало-Нен. АО)	Российская Федерация
Абатское	Тюменская область	Российская Федерация
Аксарина	Тюменская область	Российская Федерация
Беркут	Тюменская область	Российская Федерация
Большое Сорокино	Тюменская область	Российская Федерация
Викулово	Тюменская область	Российская Федерация
Голышманово	Тюменская область	Российская Федерация
Заводоуковск	Тюменская область	Российская Федерация
Игрим	Тюменская область	Российская Федерация
Излучинск	Тюменская область	Российская Федерация
Ингалинское	Тюменская область	Российская Федерация
Ишим	Тюменская область	Российская Федерация
Каскара	Тюменская область	Российская Федерация
Когалым	Тюменская область	Российская Федерация
Кондинское	Тюменская область	Российская Федерация
Лангепас	Тюменская область	Российская Федерация
Мегион	Тюменская область	Российская Федерация
Московский	Тюменская область	Российская Федерация
Нижневартовск	Тюменская область	Российская Федерация
Новоселезнево	Тюменская область	Российская Федерация
Нягань	Тюменская область	Российская Федерация
Октябрьский	Тюменская область	Российская Федерация
Окунево	Тюменская область	Российская Федерация
Пионерский	Тюменская область	Российская Федерация
Приполярный	Тюменская область	Российская Федерация
Пыть-Ях	Тюменская область	Российская Федерация
Салехард	Тюменская область	Российская Федерация
Сладково	Тюменская область	Российская Федерация
Советский	Тюменская область	Российская Федерация
Сургут	Тюменская область	Российская Федерация
Таежный	Тюменская область	Российская Федерация
Тбмень	Тюменская область	Российская Федерация
Тобольск	Тюменская область	Российская Федерация
Тюмень	Тюменская область	Российская Федерация
Уват	Тюменская область	Российская Федерация
Урай	Тюменская область	Российская Федерация
Ханты-Мансийск	Тюменская область	Российская Федерация
Югорск	Тюменская область	Российская Федерация
Ялуторовск	Тюменская область	Российская Федерация
Ярково	Тюменская область	Российская Федерация
Арзамасцево	Удмуртская Республика	Российская Федерация
Балезино	Удмуртская Республика	Российская Федерация
Большая Кибья	Удмуртская Республика	Российская Федерация
Воткинск	Удмуртская Республика	Российская Федерация
Глазов	Удмуртская Республика	Российская Федерация
Грахово	Удмуртская Республика	Российская Федерация
Дебесы	Удмуртская Республика	Российская Федерация
Завьялово	Удмуртская Республика	Российская Федерация
Игра	Удмуртская Республика	Российская Федерация
Ижевск	Удмуртская Республика	Российская Федерация
Италмас	Удмуртская Республика	Российская Федерация
Камбарка	Удмуртская Республика	Российская Федерация
Каменное	Удмуртская Республика	Российская Федерация
Каменное Заделье	Удмуртская Республика	Российская Федерация
Кез	Удмуртская Республика	Российская Федерация
Киясово	Удмуртская Республика	Российская Федерация
Малая Пурга	Удмуртская Республика	Российская Федерация
Можга	Удмуртская Республика	Российская Федерация
Новый	Удмуртская Республика	Российская Федерация
Октябрьский	Удмуртская Республика	Российская Федерация
Перевозное	Удмуртская Республика	Российская Федерация
Писеево	Удмуртская Республика	Российская Федерация
Сарапул	Удмуртская Республика	Российская Федерация
Сигаево	Удмуртская Республика	Российская Федерация
Ува	Удмуртская Республика	Российская Федерация
Укан	Удмуртская Республика	Российская Федерация
Черемушки	Удмуртская Республика	Российская Федерация
Шаркан	Удмуртская Республика	Российская Федерация
Юкаменское	Удмуртская Республика	Российская Федерация
Якшур-Бодья	Удмуртская Республика	Российская Федерация
Яр	Удмуртская Республика	Российская Федерация
Мокрая Бугурна	Ульяновская область	Российская Федерация
Ульяновск	Ульяновская область	Российская Федерация
Вяземский	Хабаровский край	Российская Федерация
Комсомольск-на-Амуре	Хабаровский край	Российская Федерация
Хабаровск	Хабаровский край	Российская Федерация
Ягодный	Хабаровский край	Российская Федерация
Автодорога Нефтеюганск-Сургут 54	Ханты-Мансийский автономный округ - Югра	Российская Федерация
Агириш	Ханты-Мансийский автономный округ - Югра	Российская Федерация
Алябьевский	Ханты-Мансийский автономный округ - Югра	Российская Федерация
Андра	Ханты-Мансийский автономный округ - Югра	Российская Федерация
Белоярский	Ханты-Мансийский автономный округ - Югра	Российская Федерация
Белый Яр	Ханты-Мансийский автономный округ - Югра	Российская Федерация
Березово	Ханты-Мансийский автономный округ - Югра	Российская Федерация
Верхнеказымский	Ханты-Мансийский автономный округ - Югра	Российская Федерация
Зеленоборск	Ханты-Мансийский автономный округ - Югра	Российская Федерация
Игрим	Ханты-Мансийский автономный округ - Югра	Российская Федерация
Излучинск	Ханты-Мансийский автономный округ - Югра	Российская Федерация
Кедровый	Ханты-Мансийский автономный округ - Югра	Российская Федерация
Когалым	Ханты-Мансийский автономный округ - Югра	Российская Федерация
Коммунистический	Ханты-Мансийский автономный округ - Югра	Российская Федерация
Лангепас	Ханты-Мансийский автономный округ - Югра	Российская Федерация
Лыхма	Ханты-Мансийский автономный округ - Югра	Российская Федерация
Лянтор	Ханты-Мансийский автономный округ - Югра	Российская Федерация
Малиновский	Ханты-Мансийский автономный округ - Югра	Российская Федерация
Мегион	Ханты-Мансийский автономный округ - Югра	Российская Федерация
Междуреченский	Ханты-Мансийский автономный округ - Югра	Российская Федерация
Нефтеюганск	Ханты-Мансийский автономный округ - Югра	Российская Федерация
Нижневартовск	Ханты-Мансийский автономный округ - Югра	Российская Федерация
Нижнесортымский	Ханты-Мансийский автономный округ - Югра	Российская Федерация
Нягань	Ханты-Мансийский автономный округ - Югра	Российская Федерация
Октябрьский	Ханты-Мансийский автономный округ - Югра	Российская Федерация
Октябрьское	Ханты-Мансийский автономный округ - Югра	Российская Федерация
Перегребное	Ханты-Мансийский автономный округ - Югра	Российская Федерация
Пионерский	Ханты-Мансийский автономный округ - Югра	Российская Федерация
Пойковский	Ханты-Мансийский автономный округ - Югра	Российская Федерация
Покачи	Ханты-Мансийский автономный округ - Югра	Российская Федерация
Покур	Ханты-Мансийский автономный округ - Югра	Российская Федерация
Приобье	Ханты-Мансийский автономный округ - Югра	Российская Федерация
Приполярный	Ханты-Мансийский автономный округ - Югра	Российская Федерация
Пыть-Ях	Ханты-Мансийский автономный округ - Югра	Российская Федерация
Радужный	Ханты-Мансийский автономный округ - Югра	Российская Федерация
Салым	Ханты-Мансийский автономный округ - Югра	Российская Федерация
Сингапай	Ханты-Мансийский автономный округ - Югра	Российская Федерация
Советский	Ханты-Мансийский автономный округ - Югра	Российская Федерация
Солнечный	Ханты-Мансийский автономный округ - Югра	Российская Федерация
Сорум	Ханты-Мансийский автономный округ - Югра	Российская Федерация
Сургут	Ханты-Мансийский автономный округ - Югра	Российская Федерация
Таежный	Ханты-Мансийский автономный округ - Югра	Российская Федерация
Талинка	Ханты-Мансийский автономный округ - Югра	Российская Федерация
Ульт-Ягун	Ханты-Мансийский автономный округ - Югра	Российская Федерация
Унъюган	Ханты-Мансийский автономный округ - Югра	Российская Федерация
Урай	Ханты-Мансийский автономный округ - Югра	Российская Федерация
Федоровский	Ханты-Мансийский автономный округ - Югра	Российская Федерация
Ханты	Ханты-Мансийский автономный округ - Югра	Российская Федерация
Ханты-Мансийск	Ханты-Мансийский автономный округ - Югра	Российская Федерация
Чеускино	Ханты-Мансийский автономный округ - Югра	Российская Федерация
Югорск	Ханты-Мансийский автономный округ - Югра	Российская Федерация
Югра	Ханты-Мансийский автономный округ - Югра	Российская Федерация
Миасс	Челябинская	Российская Федерация
Аргаяш	Челябинская область	Российская Федерация
Аша	Челябинская область	Российская Федерация
Байрамгулово	Челябинская область	Российская Федерация
Бакал	Челябинская область	Российская Федерация
Березовка	Челябинская область	Российская Федерация
Буранный	Челябинская область	Российская Федерация
Варна	Челябинская область	Российская Федерация
Верхнеуральск	Челябинская область	Российская Федерация
Верхний Уфалей	Челябинская область	Российская Федерация
Вишневогорск	Челябинская область	Российская Федерация
Долгодеревенское	Челябинская область	Российская Федерация
Еманжелинск	Челябинская область	Российская Федерация
Еткуль	Челябинская область	Российская Федерация
Златоуст	Челябинская область	Российская Федерация
Измайловский	Челябинская область	Российская Федерация
Каменский	Челябинская область	Российская Федерация
Карабаш	Челябинская область	Российская Федерация
Карталы	Челябинская область	Российская Федерация
Касли	Челябинская область	Российская Федерация
Катав-Ивановск	Челябинская область	Российская Федерация
Катенино	Челябинская область	Российская Федерация
Кацбахский	Челябинская область	Российская Федерация
Кизильское	Челябинская область	Российская Федерация
Копейск	Челябинская область	Российская Федерация
Коркино	Челябинская область	Российская Федерация
Красногорский	Челябинская область	Российская Федерация
Кундравы	Челябинская область	Российская Федерация
Куса	Челябинская область	Российская Федерация
Кыштым	Челябинская область	Российская Федерация
Магнитка	Челябинская область	Российская Федерация
Магнитогорск	Челябинская область	Российская Федерация
Межозерный	Челябинская область	Российская Федерация
Метлино	Челябинская область	Российская Федерация
Миасс	Челябинская область	Российская Федерация
Миасское	Челябинская область	Российская Федерация
Нижний Уфалей	Челябинская область	Российская Федерация
Новобатурино	Челябинская область	Российская Федерация
Новобурино	Челябинская область	Российская Федерация
Нязепетровск	Челябинская область	Российская Федерация
Озёрск	Челябинская область	Российская Федерация
Октябрьское	Челябинская область	Российская Федерация
Петропавловка	Челябинская область	Российская Федерация
Пласт	Челябинская область	Российская Федерация
Роза	Челябинская область	Российская Федерация
Рощино	Челябинская область	Российская Федерация
Сатка	Челябинская область	Российская Федерация
Снежинск	Челябинская область	Российская Федерация
Сулея	Челябинская область	Российская Федерация
Тимирязевский	Челябинская область	Российская Федерация
Трехгорный	Челябинская область	Российская Федерация
Трехгорный-1	Челябинская область	Российская Федерация
Троицк	Челябинская область	Российская Федерация
Тюбук	Челябинская область	Российская Федерация
Увельский	Челябинская область	Российская Федерация
Уйское	Челябинская область	Российская Федерация
Ункурда	Челябинская область	Российская Федерация
Усть-Катав	Челябинская область	Российская Федерация
Халитово	Челябинская область	Российская Федерация
Центральный	Челябинская область	Российская Федерация
Чебаркуль	Челябинская область	Российская Федерация
Челябинск	Челябинская область	Российская Федерация
Черемшанка	Челябинская область	Российская Федерация
Чесма	Челябинская область	Российская Федерация
Шабурово	Челябинская область	Российская Федерация
Шемаха	Челябинская область	Российская Федерация
Южноуральск	Челябинская область	Российская Федерация
Юрюзань	Челябинская область	Российская Федерация
Алатырь	Чувашская республика	Российская Федерация
Канаш	Чувашская республика	Российская Федерация
Новочебоксарск	Чувашская республика	Российская Федерация
Чебоксары	Чувашская республика	Российская Федерация
Аксарка	Ямало-Ненецкий автономный округ	Российская Федерация
Горки	Ямало-Ненецкий автономный округ	Российская Федерация
Губкинский	Ямало-Ненецкий автономный округ	Российская Федерация
Заполярный	Ямало-Ненецкий автономный округ	Российская Федерация
Лабытнанги	Ямало-Ненецкий автономный округ	Российская Федерация
Мужи	Ямало-Ненецкий автономный округ	Российская Федерация
Муравленко	Ямало-Ненецкий автономный округ	Российская Федерация
Надым	Ямало-Ненецкий автономный округ	Российская Федерация
Новый Порт	Ямало-Ненецкий автономный округ	Российская Федерация
Новый Уренгой	Ямало-Ненецкий автономный округ	Российская Федерация
Ноябрьск	Ямало-Ненецкий автономный округ	Российская Федерация
Панаевск	Ямало-Ненецкий автономный округ	Российская Федерация
Пангоды	Ямало-Ненецкий автономный округ	Российская Федерация
Приозерный	Ямало-Ненецкий автономный округ	Российская Федерация
Пуровск	Ямало-Ненецкий автономный округ	Российская Федерация
Пурпе	Ямало-Ненецкий автономный округ	Российская Федерация
Пурпе-1	Ямало-Ненецкий автономный округ	Российская Федерация
Салеха	Ямало-Ненецкий автономный округ	Российская Федерация
Салехард	Ямало-Ненецкий автономный округ	Российская Федерация
Тарко-Сале	Ямало-Ненецкий автономный округ	Российская Федерация
Уренгой	Ямало-Ненецкий автономный округ	Российская Федерация
Ханымей	Ямало-Ненецкий автономный округ	Российская Федерация
Харп	Ямало-Ненецкий автономный округ	Российская Федерация
Тутаев	Ярославская область	Российская Федерация
Ярославль	Ярославская область	Российская Федерация
Латакия	Латакия	Сирийская Арабская Республика
Рединг	Беркшир	Соединенное Королевство Великобритании и Северной Ирландии
Хистеварз	Б.Гафуровского района	ТАДЖИКИСТАН
Рошткала	ВМКБ	ТАДЖИКИСТАН
Исфара	Ворух	ТАДЖИКИСТАН
Гиссар	Гиссарская долина	ТАДЖИКИСТАН
Ванч	Горно-Бадахшанская автономная	ТАДЖИКИСТАН
Душанбе	Душанбе	ТАДЖИКИСТАН
ТУРСУНЗОДА	Душанбе	ТАДЖИКИСТАН
Фирдавси	Душанбе	ТАДЖИКИСТАН
Душанбе	Исмоили Сомони	ТАДЖИКИСТАН
Джайхун	Кумсангийский	ТАДЖИКИСТАН
Турсунзаде	Районы республиканского подчинения	ТАДЖИКИСТАН
Шахринав	Районы республиканского подчинения	ТАДЖИКИСТАН
Файзобод	РРП	ТАДЖИКИСТАН
Джамоат Россия	Рудаки	ТАДЖИКИСТАН
Душанбе	Сино	ТАДЖИКИСТАН
Айни	Согдийская область	ТАДЖИКИСТАН
Ашт	Согдийская область	ТАДЖИКИСТАН
Б. Гафуровский	Согдийская область	ТАДЖИКИСТАН
Басмонда	Согдийская область	ТАДЖИКИСТАН
Бободжон Гафуровский район	Согдийская область	ТАДЖИКИСТАН
Бустон	Согдийская область	ТАДЖИКИСТАН
Гафуров	Согдийская область	ТАДЖИКИСТАН
Гончи	Согдийская область	ТАДЖИКИСТАН
Гулистон	Согдийская область	ТАДЖИКИСТАН
Джаббор Расулов	Согдийская область	ТАДЖИКИСТАН
Зарафшон-1	Согдийская область	ТАДЖИКИСТАН
Зафаробод	Согдийская область	ТАДЖИКИСТАН
Истаравшан	Согдийская область	ТАДЖИКИСТАН
Кайраккум	Согдийская область	ТАДЖИКИСТАН
Канибадам	Согдийская область	ТАДЖИКИСТАН
Мастчох	Согдийская область	ТАДЖИКИСТАН
Мехробод	Согдийская область	ТАДЖИКИСТАН
Расулов	Согдийская область	ТАДЖИКИСТАН
Хистеварз	Согдийская область	ТАДЖИКИСТАН
Ходжанд	Согдийская область	ТАДЖИКИСТАН
Худжанд	Согдийская область	ТАДЖИКИСТАН
Чорух-дайрон	Согдийская область	ТАДЖИКИСТАН
Шайдон	Согдийская область	ТАДЖИКИСТАН
Шахристан	Согдийская область	ТАДЖИКИСТАН
Янгикурган	Согдийская область	ТАДЖИКИСТАН
Бохтар	Хатлонская	ТАДЖИКИСТАН
Восе	Хатлонская	ТАДЖИКИСТАН
Кулоб	Хатлонская	ТАДЖИКИСТАН
Куляб	Хатлонская	ТАДЖИКИСТАН
Кургантюбе	Хатлонская	ТАДЖИКИСТАН
Курган-Тюбе	Хатлонская	ТАДЖИКИСТАН
Нурека	Хатлонская	ТАДЖИКИСТАН
Фархор	Хатлонская	ТАДЖИКИСТАН
Фархорский	Хатлонская	ТАДЖИКИСТАН
Хатлон	Хатлонская	ТАДЖИКИСТАН
Ховалинг	Хатлонская	ТАДЖИКИСТАН
Душанбе	Шохмансур	ТАДЖИКИСТАН
Андажан	Андижанская	УЗБЕКИСТАН
Шахрихан	Андижанская	УЗБЕКИСТАН
Бухара	Бухарская область	УЗБЕКИСТАН
Караганда	Казахстан	УЗБЕКИСТАН
Хисорак	Кашкадарьинская	УЗБЕКИСТАН
Зарафшан	Навоийская область	УЗБЕКИСТАН
Навои	Навоийская область	УЗБЕКИСТАН
Учкурган	Наманганская область	УЗБЕКИСТАН
Самарканд	Самаркандская область	УЗБЕКИСТАН
Денау	Сурхандарьинская	УЗБЕКИСТАН
Ташкент	Ташкентская	УЗБЕКИСТАН
Учкурган	Учкурганская	УЗБЕКИСТАН
Аулы	Днепропетровская область	Украина
Днепропетровск	Днепропетровская область	Украина
Донецк	Донецкая область	Украина
Краматорск	Донецкая область	Украина
Макеевка	Донецкая область	Украина
Ольховый	Луганская область	Украина
Николаев	Николаевская	Украина
Симферополь	Республика Крым	Украина
Конотоп	Сумская	Украина
Трез Риос	Рио-де-Жанейро	Федеративная Республика Бразилия
Берлин	Федеративная Республика Германия	Федеративная Республика Германия